RegionID,RegionName,SizeRank,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01
,,,799,,,,,,,
,,,2145,,,,,,,
,,,1363,,,,,,,
,,,1271,,,,,,,
,,,1122,,,,,,,
,,,2080,,,,,,,
,,,1328,,,,,,,
,,,1184,,,,,,,
,,,2048,,,,,,,
,,,820,,,,,,,
,,,1351,,,,,,,
,,,824,,,,,,,
,,,858,,,,,,,
,,,847,,,,,,,
,,,856,,,,,,,
,,,1084,,,,,,,
,,,1046,,,,,,,
,,,1420,,,,,,,
,,,2086,,,,,,,
,,,838,,,,,,,
,,,1228,,,,,,,
,,,858,,,,,,,
