Id2,Geography,Supply,Year
45,Utah,1013360,2014
46,Vermont,327317,2014
47,Virginia,3421133,2014
48,Washington,2956354,2014
49,West Virginia,886383,2014
50,Wisconsin,2647095,2014
51,Wyoming,268983,2014
1,Alabama,2229279,2015
2,Alaska,313941,2015
3,Arizona,2937060,2015
4,Arkansas,1353037,2015
5,California,13986110,2015
6,Colorado,2317449,2015
7,Connecticut,1507332,2015
8,Delaware,423140,2015
9,District of Columbia,307569,2015
10,Florida,9242785,2015
11,Georgia,4196753,2015
12,Hawaii,534727,2015
13,Idaho,700089,2015
14,Illinois,5333605,2015
15,Indiana,2854692,2015
16,Iowa,1375377,2015
17,Kansas,1259013,2015
18,Kentucky,1963484,2015
19,Louisiana,2030568,2015
20,Maine,735445,2015
21,Maryland,2426688,2015
22,Massachusetts,2865750,2015
23,Michigan,4564392,2015
24,Minnesota,2403435,2015
25,Mississippi,1307860,2015
26,Missouri,2760166,2015
27,Montana,500869,2015
28,Nebraska,823898,2015
29,Nevada,1218584,2015
30,New Hampshire,627425,2015
31,New Jersey,3593716,2015
32,New Mexico,927833,2015
33,New York,8244474,2015
34,North Carolina,4515670,2015
35,North Dakota,364908,2015
36,Ohio,5173970,2015
37,Oklahoma,1714121,2015
38,Oregon,1731363,2015
39,Pennsylvania,5654342,2015
40,Rhode Island,466516,2015
41,South Carolina,2225873,2015
42,South Dakota,383233,2015
43,Tennessee,2898726,2015
44,Texas,10604437,2015
45,Utah,1045154,2015
46,Vermont,330900,2015
47,Virginia,3467598,2015
48,Washington,3020797,2015
49,West Virginia,889177,2015
50,Wisconsin,2667516,2015
51,Wyoming,273221,2015
1,Alabama,2242534,2016
2,Alaska,315376,2016
3,Arizona,2966587,2016
4,Arkansas,1360840,2016
5,California,14076191,2016
6,Colorado,2348381,2016
7,Connecticut,1512587,2016
8,Delaware,427692,2016
9,District of Columbia,311282,2016
10,Florida,9337960,2016
11,Georgia,4235538,2016
12,Hawaii,539784,2016
13,Idaho,709792,2016
14,Illinois,5345080,2016
15,Indiana,2869636,2016
16,Iowa,1385575,2016
17,Kansas,1265735,2016
18,Kentucky,1972675,2016
19,Louisiana,2043570,2016
20,Maine,738791,2016
21,Maryland,2437510,2016
22,Massachusetts,2881928,2016
23,Michigan,4577942,2016
24,Minnesota,2419408,2016
25,Mississippi,1315323,2016
26,Missouri,2774937,2016
27,Montana,505657,2016
28,Nebraska,830751,2016
29,Nevada,1232062,2016
30,New Hampshire,630953,2016
31,New Jersey,3604554,2016
32,New Mexico,932520,2016
33,New York,8283133,2016
34,North Carolina,4567956,2016
35,North Dakota,370861,2016
36,Ohio,5186119,2016
37,Oklahoma,1723754,2016
38,Oregon,1748683,2016
39,Pennsylvania,5673791,2016
40,Rhode Island,467261,2016
41,South Carolina,2254292,2016
42,South Dakota,387358,2016
43,Tennessee,2926477,2016
44,Texas,10770794,2016
45,Utah,1062811,2016
46,Vermont,332933,2016
47,Virginia,3488808,2016
48,Washington,3060255,2016
49,West Virginia,890779,2016
50,Wisconsin,2680115,2016
51,Wyoming,275057,2016
1,Alabama,2258396,2017
2,Alaska,316932,2017
3,Arizona,3000043,2017
4,Arkansas,1370000,2017
5,California,14173596,2017
6,Colorado,2385152,2017
7,Connecticut,1517327,2017
8,Delaware,432796,2017
9,District of Columbia,314741,2017
10,Florida,9439621,2017
11,Georgia,4280892,2017
12,Hawaii,542853,2017
13,Idaho,721677,2017
14,Illinois,5359279,2017
15,Indiana,2885017,2017
16,Iowa,1397848,2017
17,Kansas,1273617,2017
18,Kentucky,1984001,2017
19,Louisiana,2061222,2017
20,Maine,742530,2017
21,Maryland,2448749,2017
22,Massachusetts,2897460,2017
23,Michigan,4594731,2017
24,Minnesota,2437438,2017
25,Mississippi,1323577,2017
26,Missouri,2790579,2017
27,Montana,510322,2017
28,Nebraska,837443,2017
29,Nevada,1249429,2017
30,New Hampshire,634616,2017
31,New Jersey,3615827,2017
32,New Mexico,937842,2017
33,New York,8322887,2017
34,North Carolina,4622229,2017
35,North Dakota,374565,2017
36,Ohio,5201197,2017
37,Oklahoma,1733886,2017
38,Oregon,1768274,2017
39,Pennsylvania,5693811,2017
40,Rhode Island,468241,2017
41,South Carolina,2284296,2017
42,South Dakota,392576,2017
43,Tennessee,2958248,2017
44,Texas,10929148,2017
45,Utah,1084866,2017
46,Vermont,335200,2017
47,Virginia,3512469,2017
48,Washington,3103142,2017
49,West Virginia,892190,2017
50,Wisconsin,2695203,2017
51,Wyoming,276726,2017
1,Alabama,2274565,2018
2,Alaska,318336,2018
3,Arizona,3035669,2018
4,Arkansas,1380504,2018
5,California,14277157,2018
6,Colorado,2424051,2018
7,Connecticut,1521117,2018
8,Delaware,438693,2018
9,District of Columbia,319531,2018
10,Florida,9547305,2018
11,Georgia,4326105,2018
12,Hawaii,546213,2018
13,Idaho,735672,2018
14,Illinois,5376064,2018
15,Indiana,2903554,2018
16,Iowa,1409650,2018
17,Kansas,1280774,2018
18,Kentucky,1995182,2018
19,Louisiana,2076028,2018
20,Maine,746596,2018
21,Maryland,2458801,2018
22,Massachusetts,2914929,2018
23,Michigan,4614380,2018
24,Minnesota,2456064,2018
25,Mississippi,1332577,2018
26,Missouri,2806371,2018
27,Montana,515175,2018
28,Nebraska,845042,2018
29,Nevada,1268633,2018
30,New Hampshire,638091,2018
31,New Jersey,3628302,2018
32,New Mexico,943208,2018
33,New York,8363934,2018
34,North Carolina,4684876,2018
35,North Dakota,377649,2018
36,Ohio,5217423,2018
37,Oklahoma,1743069,2018
38,Oregon,1788681,2018
39,Pennsylvania,5713150,2018
40,Rhode Island,469157,2018
41,South Carolina,2318271,2018
42,South Dakota,397526,2018
43,Tennessee,2992279,2018
44,Texas,11100779,2018
45,Utah,1108763,2018
46,Vermont,337110,2018
47,Virginia,3538847,2018
48,Washington,3148129,2018
49,West Virginia,893778,2018
50,Wisconsin,2710723,2018
51,Wyoming,278595,2018
